#,id,indexNumber,name,address,location_lat,location_lon,creat_time,delete_flag
73,8b307b3899804beb,25,MERRION SQUARE EAST,Merrion Square East,53.3394,-6.24655,2023-03-01 18:38:17,0
74,8b9c07b30cf84626,36,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,53.3378,-6.25603,2023-03-01 18:38:18,0
75,8d75ab583e564553,27,MOLESWORTH STREET,Molesworth Street,53.3413,-6.25812,2023-03-01 18:38:17,0
76,94e7ddb60d3c45f0,108,AVONDALE ROAD,Avondale Road,53.3594,-6.27614,2023-03-01 18:38:14,0
77,95657e27c59e4555,49,GUILD STREET,Guild Street,53.3479,-6.24093,2023-03-01 18:38:17,0
78,9b48915747914a02,82,MOUNT BROWN,Mount Brown,53.3416,-6.29719,2023-03-01 18:38:17,0
79,9d9fe5c763884523,44,UPPER SHERRARD STREET,Upper Sherrard Street,53.3584,-6.26064,2023-03-01 18:38:18,0
80,9edb8952485e4d29,507,ORIEL STREET TEST TERMINAL,JCDecaux Ireland,52,0,2023-03-01 18:38:18,0
81,a18cd444f27e4da8,64,SANDWITH STREET,Sandwith Street,53.3452,-6.24716,2023-03-01 18:38:18,0
82,a2e10e5c03b64da4,62,LIME STREET,Lime Street,53.346,-6.24358,2023-03-01 18:38:17,0
83,a3518db3bb7c4122,47,HERBERT STREET,Herbert Street,53.3357,-6.24551,2023-03-01 18:38:17,0
84,b309a92279454e00,55,HATCH STREET,Hatch Street,53.334,-6.26071,2023-03-01 18:38:17,0
85,b7d6b6f14c664954,86,PARKGATE STREET,Parkgate Street,53.348,-6.2918,2023-03-01 18:38:18,0
86,b88c61db2f564767,65,CONVENTION CENTRE,Convention Centre,53.3474,-6.23852,2023-03-01 18:38:18,0
87,b8d48ea081754f42,72,JOHN STREET WEST,John Street West,53.3431,-6.27717,2023-03-01 18:38:16,0
88,ba0526918cab4ccf,1,CLARENDON ROW,Clarendon Row,53.3409,-6.2625,2023-03-01 18:38:15,0
89,baaf4255f78b4401,57,GRATTAN STREET,Grattan Street,53.3396,-6.24378,2023-03-01 18:38:18,0
90,bec96ff55f034e81,3,BOLTON STREET,Bolton Street,53.3512,-6.26986,2023-03-01 18:38:18,0
91,c04b016894db45f8,26,MERRION SQUARE WEST,Merrion Square West,53.3398,-6.25199,2023-03-01 18:38:18,0
92,c16f66bb66374178,69,GRAND CANAL DOCK,Grand Canal Dock,53.3426,-6.2387,2023-03-01 18:38:17,0
93,c1e16347389f46f3,60,NORTH CIRCULAR ROAD,North Circular Road,53.3596,-6.26035,2023-03-01 18:38:17,0
94,c24a91699eac4302,18,GRANTHAM STREET,Grantham Street,53.3341,-6.26544,2023-03-01 18:38:14,0
95,c33f797c56ab48ab,76,MARKET STREET SOUTH,Market Street South,53.3423,-6.28766,2023-03-01 18:38:17,0
96,c6054c6dd3c04448,43,PORTOBELLO ROAD,Portobello Road,53.3301,-6.26804,2023-03-01 18:38:15,0
97,c7f9fc3090c1401f,9,EXCHEQUER STREET,Exchequer Street,53.343,-6.26358,2023-03-01 18:38:17,0
98,ca0af39734294795,19,HERBERT PLACE,Herbert Place,53.3344,-6.24557,2023-03-01 18:38:17,0
99,cdad370604e34fac,39,WILTON TERRACE,Wilton Terrace,53.3324,-6.25272,2023-03-01 18:38:18,0
100,d963c95473034ed6,6,CHRISTCHURCH PLACE,Christchurch Place,53.3434,-6.27012,2023-03-01 18:38:14,0
101,d99c744934ff472d,100,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),53.3471,-6.29204,2023-03-01 18:38:18,0
102,da11e693840f42cd,107,CHARLEVILLE ROAD,Charleville Road,53.3592,-6.28187,2023-03-01 18:38:18,0
103,dde1bf7ff63d4e8a,17,GOLDEN LANE,Golden Lane,53.3408,-6.26773,2023-03-01 18:38:16,0
104,e1aec549484e4035,32,PEARSE STREET,Pearse Street,53.3443,-6.25043,2023-03-01 18:38:15,0
105,e4672efb169246ec,53,NEWMAN HOUSE,Newman House,53.3371,-6.26059,2023-03-01 18:38:17,0
106,e53432befa6c4e53,99,CITY QUAY,City Quay,53.3466,-6.24615,2023-03-01 18:38:17,0
107,ef4b1467b9e64800,78,MATER HOSPITAL,Mater Hospital,53.36,-6.26483,2023-03-01 18:38:18,0
108,f05ac9a38dfb491c,51,YORK STREET WEST,York Street West,53.3393,-6.2647,2023-03-01 18:38:17,0
109,f140de7aacc34ad5,95,ROYAL HOSPITAL,Royal Hospital,53.3439,-6.29706,2023-03-01 18:38:18,0
110,f151e592131249ec,89,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,53.3352,-6.2509,2023-03-01 18:38:18,0
111,f7bf3d83064046bd,96,KILMAINHAM LANE,Kilmainham Lane,53.3418,-6.30509,2023-03-01 18:38:17,0
112,fa026572243945ef,74,OLIVER BOND STREET,Oliver Bond Street,53.3439,-6.28053,2023-03-01 18:38:16,0
113,fa85881659bd4a57,92,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),53.3478,-6.29243,2023-03-01 18:38:18,0
114,fe722153cae542cb,104,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),53.3552,-6.27842,2023-03-01 18:38:17,0
